Address,XDEX
0x88f63972fc82b5a1b5122f0e534f5422696055d6,10000
0x7054b83d372cc5172278701cc6a0e1dacb337edb,5000
0x9771d26d87cec5f0ce708997d28fb2678d603944,3000
0x430fa4133b4160787cb474ccc9aa8b3dd6159534,30
0x33f6ee932cea603fafd6854827259be172c91da4,30
0xa56b686ef814afa3a2e4c7bfd231b143f18df607,30
0x61ecf13430925d295cd6a2d31255da0cf877c5d5,30
0x727bfd69e19f3258cf038adaef5decaa4b17dc28,30
0xe583d9ad4f5fa4e8e04df0f4ce71112c509c2792,30
0xf4a6d4c2f4688a1773178cf23080c24051f4dccb,30
0x0982d99f633dc496ffc1f54d58939b205ecee64a,30
0x2105b29b61e65b6a8411cfa11a41de2cc1a0d4ea,30
0x7de620cce9dbcfa35f2f36d2bbf84735de685521,30
0x4c9dbccf2d089adca283b628489816c9acf810c4,30
0xb9f62a4236e5dd8d52617cb76e2d65164eeb7c2c,30
0x99d4480b5be94478b15358a3c81381a5f539eb0a,30
0xd1318e9e27b72bca52b9e8157626fb8d3ec2c052,30
0x57017e121ed1617ee89d8f7d645630752f92cb7e,30
0x7114fddf2f16a737726267990ccd9937f1d03e9d,30
0x35fa44c4f6c1b273e3438ce3fd360989517c16da,30
0xf5feaf08bdd8a95fdb5f671c0b9df5d15c11ab8b,30
0xf31e952a4b01692410ef7c268aa8227aa347fe5b,30
0xf79ecde507daf989f4a49865b9ab670f6c194525,30
0xc9dd2427049467c61327fcd0396973b84c1f131e,30
0x8e5321358175d6182c83ab0a416c4c4d405fdf42,30
0xf9c43a5bc197bfd4a5b1b126a12c533f8b29093e,30
0xcaf8550805d1b0b6cc393f2d85835dd9af1ad7e5,30
0xe952af3ceb8df334a0dc5919c819da95f1d439f7,30
0x614099a468bc83492f53b404e241492fd3b92525,30
0xc891a435b5ba4c3c434af698b510db6fcc9f0298,30
0xde0e2e95ee5d36834f452e0298ac98b92c8f1b61,30
0xf91d05c64a7c58f1b3697f825ad10e15c08cdc01,30
0x026c06d623685f316630dd919ee467c0c7acdd9d,30
0xb2da4f28511715c269b0db08cb7f4be2d9e1eb1e,30
0x51442ba52a0ff09371853625e01c6d77350820e6,30
0xfb7b6c967a598f9d952c7e91824b729be3771b09,30
0x4d3609e12adaed52f6c04012b866c14715df36a8,30
0x0c34ebf011f25f6b886738d8b5566e8b634fffa1,30
0xe9bca6f04bf3281d2195ce6ef82da086d20dc744,30
0x70d0c69894bbf48f7c9c49216d1d3193eccfec46,30
0x46cea731e3d2ef21b4f0ff79c9f211228c62be66,30
0xeea366d9750bd93ab5166c970f0622a7926f364a,30
0x4c8d670dbb927bdef325b4ee7235a3a22e424ca3,30
0x0c47c5f0d8aa01470095149a63ee69cb60ada1b1,30
0x488b159cf3f68ef14618ba1b535b204b3b27c33f,30
0xd6b285bdb13a4180d3533a9ba167771424c59809,30
0x063c6e956c4021907584a44013b7c1acefdf53c7,30
0x37e122ac3d37a6d00211a9647460f5d1243e6f71,30
0x6998c44e9505b6f4e31da559a43ae5ecb745b62d,30
0xb153f24c413949bbbb1fb7be6610e3ad615b7569,30
0x048dda49a50d7168749fe893ae1e2e37d448570e,30
0x6d79a52ab9994bf92cfb218cc8933cb763bd069a,30
0x7d3ad9fcc94f09abfa4d62a91aea3d682dbbd321,30
0xd09d96154f61c11974896853ce2f0699b9b97284,30
0x3189a6c511f0ebb5e6332074741485ade089af9e,30
0xa17cbcc5247856d538290de3bf2016189dcef259,30
0x4302bf007050349e8cd2ac800ba73b95c6d81696,30
0xfe844d49f8ebcf78064b4c6278039defd5714d5c,30
0xf612625fe3e2ead147d56847ef485cd6b122f8a7,30
0x61d7c0218ed88882e432d43c8883ac61dd8c77ce,30
0x873da56902a9120e91b0f2a8c73ae5c06aa97b63,30
0x161534160aa26a05a3d7d12b80a37b036d9b48c0,30
0x3092e07c68c2f504a898a4b875ed8a172433549b,30
0x847194b576ad7d692ddaadb58ea4d7d857e3aeed,30
0xe43c85ca13aca2d5f297fc8f35d8256332c1eab3,30
0x087c6746c093347797c0697cc2fdc7315a9c5c6d,30
0x0bb43efc1a613658177d8f67ccf9cffd8b25b906,30
0x81b53ed68ab9970d25820add55eafd4a7816413a,30
0x7a15309ed61f485b502d2b171735bf11501770f5,30
0x62aff1de51e60876182b772a906cf02582ffbcb2,30
0xec79140087949d8ec55799a730a863137d50b42b,30
0xb1135e9f955df41d171000189c6bd491fb4fe224,30
0x6201c94d1b3df33f9a7b29e4259353b9cb4a9bec,30
0x3c695bf9ad777971f497470bb985d67d28a116ed,30
0xe92a180db0b45e6398354ef3993a1faf3bc6770d,30
0x2de725818e427319ef0bc49dfa19bc2010ca424d,30
0x2eaebcf9fb9cf8ec90ec2cac59704132a338ad40,30
0x5fb54d3c995990b4a9ded360066cbd9da7f25698,30
0x376f7b46c11bb9287e1442a394fb6e887e0edbd4,30
0xf953f030706ec97e4b76d9fda49c5f139b5d16ea,30
0x0e10ad26f4ec08fc5bcd3b67587c7b9598e49b9f,30
0xfa5513f63633f8e645d8f822bdbaeb25f2150114,30
0xc0a3fc33d046860b59e61f4fa65b18af31e1433a,30
0x13688fba727bcea50fe717a4fa0521fe2c642aed,30
0x6f5da981982011f1ac2ec345b5c2681c16298f2e,30
0xd99b9e0c997492fe9feac5b2bdec10b31420a201,30
0x8da8a8a209ba151e2907549b6aa642cbb443ec70,30
0x833cc636c2a48ee7d404170b94706354a68d5e15,30
0x73d05eb78a200b1400b882939aab240dfcd6a824,30
0xe4e40736b8dab580f62ca50a3e153173ae9c2aee,30
0x4b16548eb17846d9d9cef416772cf8932a58be91,30
0x2dc6da1ff67c4fa174b6666f0399e8352d43ef60,30
0x7ef79b6e5f9e15d886eac582dcda48a9c8372f5a,30
0x31bc98222074433f37740b06f0e84e158f470f93,30
0x6a7f27e3f86bfb341da6b4f0dabaf0240b73aafb,30
0xfcf5cd5f305a41237490838c7550fcd4b399e9e9,30
0xc07a2c247c53c8a60ef5181feb85c4b2166e8eae,30
0xd8430211a7fe6086bc336a3ff9bdbd6af5d2433f,30
0x8c881ded8ce8a202a53884d883e7b6f32967bfce,30
0x6bb1f13807842078376eb229e1833c27f9ed9016,30
0x533fae64009d2bcf3f6d42014690aaa4d5798605,30
0x1f14e010f22f440c746eea0dc2ee297d69fd4c60,30
